,zip_code,Median_Income,rental price,city,persons counted 2018,persons counted 2019,persons in perma housing,latitude,longitude,Median Age,Population,Household,median lengh of residence,average house income,Unemployed %,crimes,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue
0,90023,40225,2201,Commerce,490,295,17,34.0245,-118.1975,31.4,46455,10966,8.0,59679,6.84,128,1,Mexican Restaurant,Video Game Store,Supermarket
1,90040,43585,2317,Commerce,490,295,17,33.9909,-118.1532,33.2,14121,3605,10.0,63661,9.51,128,5,Clothing Store,Yoga Studio,Electronics Store
2,90066,75209,3403,Culver City,117,236,69,34.003,-118.4298,41.1,55775,24339,7.3,127240,5.31,188,6,Japanese Restaurant,Coffee Shop,Grocery Store
3,90230,79242,3630,Culver City,117,236,69,33.9949,-118.3991,41.8,33255,13293,8.8,127747,5.01,188,6,Fast Food Restaurant,Pet Store,ATM
4,90232,82254,3472,Culver City,117,236,69,34.0168,-118.3973,42.2,16107,7116,7.1,122950,3.39,188,6,Gym,Coffee Shop,Deli / Bodega
5,90201,39498,2261,Bell,139,504,238,33.9653,-118.1515,31.1,101734,24548,7.1,58288,7.3,184,1,Fast Food Restaurant,Fried Chicken Joint,Seafood Restaurant
6,90270,37553,2263,Bell,139,504,238,33.989000000000004,-118.1877,31.3,26908,6484,7.9,57893,7.64,184,1,Mexican Restaurant,Convenience Store,Pizza Place
7,90210,149732,5170,Beverly Hills,18,19,14,34.0901,-118.4065,49.1,23296,9414,11.2,236159,4.16,106,6,Art Gallery,Clothing Store,Speakeasy
8,90211,71402,3986,Beverly Hills,18,19,14,34.0652,-118.383,43.5,8537,3707,7.5,149531,4.7,106,6,Café,Cosmetics Shop,Movie Theater
9,90212,103032,5212,Beverly Hills,18,19,14,34.0619,-118.3995,44.2,11496,5579,6.9,159286,4.6,106,6,Coffee Shop,Pizza Place,Restaurant
10,90220,54014,2386,Compton,342,424,167,33.8748,-118.2402,32.1,51612,13364,9.6,75018,9.18,1174,5,Clothing Store,Food Court,Yoga Studio
11,90221,46008,2310,Compton,342,424,167,33.8796,-118.2168,30.0,55751,12061,8.9,65080,10.0,1174,6,Coffee Shop,Fast Food Restaurant,Sandwich Place
12,90222,40719,2390,Compton,342,424,167,33.9099,-118.2357,30.5,34149,7953,8.6,67212,8.54,1174,3,Pet Store,Fish & Chips Shop,Yoga Studio
13,90240,81205,2547,Downey,180,174,55,33.9581,-118.1174,37.5,25748,7559,10.1,125928,4.04,367,1,Gym / Fitness Center,BBQ Joint,Yoga Studio
14,90241,64222,2461,Downey,180,174,55,33.9416,-118.1306,36.4,44032,13983,7.8,95049,5.24,367,6,Asian Restaurant,Bar,Burger Joint
15,90242,62402,2275,Downey,180,174,55,33.9218,-118.1395,34.5,44292,12868,8.3,88245,5.27,367,1,Donut Shop,Chinese Restaurant,Hotel
16,90245,92942,3347,El Segundo,14,19,12,33.9243,-118.4119,42.3,16988,7206,7.8,148783,5.11,62,6,Park,Juice Bar,Gym
17,90247,46076,2422,Gardena,47,76,80,33.8925,-118.2961,38.2,47724,16022,8.0,74928,6.99,326,6,Pharmacy,Burger Joint,Bank
18,90248,58703,2454,Gardena,47,76,80,33.8766,-118.2835,43.5,10319,3619,9.8,98913,4.76,326,1,Intersection,Home Service,Mexican Restaurant
19,90249,53964,2341,Gardena,47,76,80,33.8998,-118.3199,39.1,26993,8896,10.3,87726,6.18,326,6,Southern / Soul Food Restaurant,Vietnamese Restaurant,Sandwich Place
20,90254,124849,3770,Hermosa Beach,23,25,5,33.8643,-118.3955,41.3,19741,9572,7.4,192025,2.96,30,6,Grocery Store,Coffee Shop,Yoga Studio
21,90255,40325,2340,Huntington Park,309,195,32,33.9769,-118.2161,32.4,76237,18865,8.1,60120,7.32,429,1,Video Store,Mexican Restaurant,Pizza Place
22,90260,58792,2545,Lawndale,32,33,10,33.8879,-118.351,35.7,34747,10304,7.9,87805,5.03,129,6,Noodle House,Home Service,Peruvian Restaurant
23,90262,45897,2319,Lynwood,146,112,35,33.9241,-118.2013,31.3,69195,14651,8.6,69328,7.43,426,6,Park,Pharmacy,Gym
24,90265,137672,4693,Malibu,30,154,5,34.0402,-118.7351,47.4,19728,7550,9.6,221339,4.53,37,2,Home Service,Yoga Studio,Financial or Legal Service
25,90266,148899,4562,Manhattan Beach,41,22,6,33.8896,-118.3996,42.4,35032,13856,9.7,230270,4.1,57,6,Automotive Shop,Hotel,Bank
26,90277,101532,3504,Redondo Beach,154,173,55,33.8307,-118.3832,46.1,36032,17438,7.4,156240,3.38,171,6,Pharmacy,Ramen Restaurant,Mexican Restaurant
27,90278,107242,3246,Redondo Beach,154,173,55,33.8707,-118.3715,41.4,41490,16460,8.8,158666,4.72,171,6,Massage Studio,Donut Shop,Pizza Place
28,90280,47281,2449,South Gate,259,357,44,33.9462,-118.2013,32.5,96619,24064,8.9,69277,8.94,634,6,Mexican Restaurant,Pharmacy,Fast Food Restaurant
29,90301,42100,2451,Inglewood,510,461,221,33.955,-118.3556,36.0,37367,12289,7.1,60446,9.15,683,1,Mexican Restaurant,Pizza Place,Grocery Store
30,90302,43788,2522,Inglewood,510,461,221,33.9745,-118.3548,36.2,29584,10857,7.1,73040,11.21,683,6,Pizza Place,Gym / Fitness Center,Southern / Soul Food Restaurant
31,90303,44470,2421,Inglewood,510,461,221,33.9377,-118.3321,33.4,25873,7199,8.8,72431,9.26,683,6,Pizza Place,BBQ Joint,Bakery
32,90304,41054,2430,Inglewood,510,461,221,33.9379,-118.3586,31.7,28773,6949,7.8,69520,7.62,683,1,Mexican Restaurant,Taco Place,Convenience Store
33,90305,68760,2867,Inglewood,510,461,221,33.9583,-118.3259,45.2,15473,6179,11.3,99536,5.51,683,6,Fast Food Restaurant,Discount Store,Convenience Store
34,90402,140179,5995,Santa Monica,905,1002,214,34.0349,-118.50299999999999,49.0,12326,5362,10.0,219288,6.52,797,0,Beach,Trail,Financial or Legal Service
35,90403,92096,4635,Santa Monica,905,1002,214,34.0287,-118.4924,45.4,25043,14054,7.1,146141,5.41,797,6,Coffee Shop,Boutique,Grocery Store
36,90404,73601,3775,Santa Monica,905,1002,214,34.0268,-118.4733,42.2,22260,10564,6.1,114836,6.86,797,6,Coffee Shop,Art Gallery,American Restaurant
37,90501,64995,2543,Torrance,187,226,39,33.8268,-118.3118,38.1,45166,15243,8.0,98813,6.05,267,6,ATM,Food Truck,Video Store
